id_c0nv,n_tweets,complete_tree,tree_size,n_orphans,tree_depth,tree_width,conv_start,conv_end,Justification,Topics,disagreement,x,y
0,32,FALSE,15,15,17,10,07/09/2017 10:02,08/09/2017 18:12,they discuss the paper,Harms,2,-54.5015,0.43879954
1,17,FALSE,1,1,16,1,07/09/2017 16:23,08/09/2017 06:05,comments on the paper started by tweet with link to paper started by article in the Economist,Harms;Model bias;Model Performance;Accuracy,1,-53.502558,0.6453774
2,9,FALSE,9,9,0,4,07/09/2017 16:25,11/09/2017 18:24,comments on the paper started by tweet with link to paper started by article in the Economist,Study Assumptions,1,-52.497654,-0.1699094
3,13,FALSE,5,5,8,3,08/09/2017 05:19,13/09/2017 11:58,discuss the paper results and harms,Validity;harms,0,-51.503145,0.4341833
4,18,FALSE,18,18,0,4,08/09/2017 10:41,08/09/2017 11:08,discuss the paper validity,Validity,0,-50.49912,-0.1296305
5,134,FALSE,95,95,39,57,08/09/2017 11:30,14/09/2017 20:05,"on the Gaydar paper, from a tweet citing a Guardian article about the paper, selection Model bias",Model bias;Harms;Study Assumptions;Bias,2,-49.502252,0.69588759
6,26,FALSE,20,20,6,16,08/09/2017 15:13,12/11/2020 00:11,pretty much insults to Kosinks,Pseudo-Science;Harms,1,-48.502151,-0.2025248
7,17,FALSE,14,14,3,5,08/09/2017 16:10,11/09/2017 20:50,on paper accuracy,Model Performance;Accuracy,1,-47.497473,0.00854635
8,20,FALSE,20,20,0,18,08/09/2017 16:25,13/09/2017 01:20,on Economist article,Model limitations;Validity,0,-46.498959,-0.1159147
9,21,FALSE,21,21,0,20,08/09/2017 17:17,09/09/2017 11:15,reaction to independent article,Pseudo-Science,0,-45.498158,-0.7604703
10,20,FALSE,7,7,13,3,09/09/2017 02:26,08/02/2018 22:06,from Kosinski paper,Harms,1,-44.50166,0.46814095
11,13,FALSE,1,1,12,1,09/09/2017 05:32,10/09/2017 03:38,"root tweet from Russia Today is cancelled, superficial discussion on the harms",Harms;Bias,0,-43.501045,0.67363375
12,19,FALSE,19,19,0,18,09/09/2017 07:52,09/09/2017 15:49,"on independent article, very general public reacton (non experts)",Phrenology;Pseudo-Science,0,-42.49555,-1.1647987
13,10,FALSE,7,7,3,4,09/09/2017 08:10,28/09/2017 04:05,on validity,Pseudo-Science;Harms;validity,1,-41.503859,-0.1954045
14,19,FALSE,11,11,8,8,09/09/2017 11:37,09/09/2017 21:14,it's on the article from the Guardian (about gaydar paper,Harms;Pseudo-Science;Ethics,1,-40.502035,-0.21146
15,12,FALSE,12,12,0,5,09/09/2017 11:59,09/09/2017 13:11,it's on the article from the Guardian (about gaydar paper,Harms;Ai ethics;Bias,1,-39.500613,0.68104213
16,20,FALSE,13,13,7,3,09/09/2017 15:34,09/09/2017 16:11,it's on the article from the Guardian (about gaydar paper,Harms;Pseudo-Science,1,-38.502311,-0.1731834
17,17,FALSE,13,13,4,12,09/09/2017 18:30,10/09/2017 13:41,"on paper, not experts",Validity;Pseudoscience,0,-37.499882,-0.7504159
18,12,FALSE,11,11,1,8,09/09/2017 19:27,14/09/2017 17:21,comments on the paper,Ai ethics;Harms;algorithm abuse,0,-36.501621,0.5010316
