id_c0nv,id_old,x,y,n_tweets,tree_size,n_orphans,tree_depth,tree_width,conv_start,conv_end,Justification,Topics,disagreement
0,'1002437369356791808',-49.86453552,0.205208405,80,48,32,13,17,21/01/1900 09:37,06/01/2018 06:31,it's about the importance of symbolic manipulation; Marcus agreed that hybrid models are a way to go;,hybrid models;,2
1,'1065280340669816832',-48.85597493,0.134792465,361,241,120,41,83,01/04/1900 13:46,11/21/2018 16:26,Marcus reacts to Bengio's opinion on the future of DL (and its current limits); LeCun reponds; discussion develops into who has done what to (scientifically) substantiate/communicate their arguments?,"limits of DL, scientific communication",2
2,'1066062398421819392',-47.84991708,0.206638815,92,25,67,8,12,14/01/1900 10:07,11/23/2018 20:14,"Marcus on the need to integrate symbol manipulation with learning from big data; LeCun replies in agreement but notes that he believes DL can support learning from data, an idea that he thinks Marcus disagrees with;",hybrid models for AI,1
3,'1066274254285496320',-46.84024414,0.115285337,187,172,15,43,49,05/03/1900 04:36,11/24/2018 10:16,"about national investments in the AI research, specifically DL; is DL a good baseline for AI ""success""; role of GOFAI; DL for AGI; LeCun tells that it's all DL at Google and Meta",(national) AI research funding;DL as AI research baseline;AGI,2
4,'1070559287662034945',-45.83466378,0.150108761,108,106,2,32,32,14/02/1900 06:06,12/06/2018 06:03,A thread reacting to Marcus piece; Blake Richards puts out an argument that DL is a research program (links to LeCun and Bengio's 2007 paper),definition of DL;DL as research program,1
5,'1070736319901519876',-44.82798943,0.20878443,101,52,49,5,34,03/02/1900 08:46,12/06/2018 17:46,"Marcus tweets his ""The Next Decade in AI"" paper;",hybrid models for AI;brain,1
6,'1071438612690960384',-43.81834663,-0.856093629,377,275,102,36,112,26/04/1900 15:26,12/08/2018 16:17,Marcus' open letter to LeCun (and he responds) in the context of achieving AGI,AGI,2
7,'1073998486033612800',-42.8108018,0.043758022,109,86,23,18,34,07/02/1900 11:17,12/15/2018 17:49,this is a reaction to Wired's interview with Hinton; the discussion is around NN explainability and to what extend understanding is needed for trust,DL explainability,2
8,'1084859265121083392',-41.80320234,-0.797022744,96,75,21,12,43,13/02/1900 15:25,1/14/2019 17:06,"it's about what are the roadblocks to achieve AGI; Marcus makes a claim (?, some tweets seem to be deleted) on reasoning; there are disagreements on what are the main problems to overcome and if AGI is possile at all",AGI,2
9,'1126776530539958273',-40.79629216,0.0446876,117,106,11,18,40,12/02/1900 20:43,05/10/2019 09:10,it's a tweet on the predictive powers of ML when it has enough data,ML prediction,1
10,'1136501685302415360',-39.79034298,0.0594271,252,103,149,6,76,16/03/1900 05:40,06/06/2019 05:14,"This is a thread about AI replacing human basic coding jobs; there are a variety of opinions, but a number of them suggest to ""learn to code""",AI for code;task automation,2
11,'1173377561897816065',-38.78288274,0.141944515,207,166,41,15,75,16/03/1900 11:38,9/15/2019 23:26,Marcus on the current ML limitations and ML community's willingness to acknowledge them (LeCun suggests him listening to his past talks…),"limits of DL, communication (of those limits)",2
12,'1184299965390053377',-37.7768973,0.082429356,98,19,79,4,11,11/01/1900 16:54,10/16/2019 2:48,Marcus on OpenAI solving Rubik's Cube with a robot hand noting that it's a hype; there's some engagement with what OpenAi did but nobody really arguing that it’s not the hype,OpenAI;robotics,0
13,'1185679169360809984',-36.7703437,0.103291374,276,200,76,10,98,07/04/1900 12:12,10/19/2019 22:08,Marcus accuses OpenAI for a misleading blog title; OpenAI co-founder @woj_zaremba replies,"OpenAI, robotics, reinforcement learning",2
14,'1186808779431645184',-35.76303449,0.104006579,82,75,7,32,16,04/02/1900 18:39,10/23/2019 0:57,Marcus on DRL and Rubik's Cube (I reckon it's a reference to OpenAI's robot hand); Marcus argues that the solutions so far have not been pure DRL but rather hybrids; the discussion is about solving Rubik's Cube using RL,OpenAI;robotics,2
15,'1187596943830048768',-34.75092557,-0.039818142,109,90,19,22,37,12/02/1900 01:06,10/25/2019 5:09,"Marcus on current DL systems not understanding language; there is a discussion on the definition of ""understanding"" and its metrics",DL and semantics,2
16,'1193097279093256197',-33.74568375,0.111687824,77,74,3,22,26,03/02/1900 01:24,11/09/2019 09:25,it's on the LeCun and Marcus debate in NYU;,Symbolic AI vs DL;,1
